
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    1.3   -1.6  318.8   27.4   956.8   22.4   71.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573    11    11  2000     0    50   210   345    79     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5503  5705  5502    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   113   113   105     0    61 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999   339   234 -9999 -9999     0   107     0  -140 -9999
   190   830   345   232    -9     7     0   102     0  -137 -9999
   180   801   353   229   -10     7     2    97     0  -134 -9999
   170   771   345   224   -10     7     1    92     1  -132 -9999
   160   786   346   225   -11     8     2   102     4  -129 -9999
   150   846   352   227   -11     8     4   112     5  -126 -9999
   140   905   365   224   -12     9     4   122     5  -107 -9999
   130   964   396   225   -11     9     2   110     4  -124 -9999
   120   828   422   225   -11     9     2   122     3  -118 -9999
   110   180   424   222   -13     8     1   133     3  -135 -9999
   100    98   397   221    -9    10     2   144     6  -145 -9999
    90   106   358   223    -3     9     3   153     4  -132 -9999
    80   116   330   223     5     6     4   131    16  -120 -9999
    70   122   318   223     9     4    11   115    11  -109 -9999
    60   113   274   234     8     2    13   113    13  -103 -9999
    50    97   253   237     3     1    10    69    12  -107 -9999
    40    86   236   238   -11     1     9    64    18   -98 -9999
    30 -9999   207   235 -9999 -9999     9    56    10   -92 -9999
    20 -9999   167   229 -9999 -9999     7    55     7   -58 -9999
    10 -9999   161   241 -9999 -9999     1    37     4   -67 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    1.3   -1.6  326.6   29.8   956.7   22.1   72.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573    11    11  2000     0    55   364   595   160     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5403  5604  5801    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   122   123   104     0    66 10100

